ID,Pred
2026_1101_1102,0.901973
2026_1101_1103,0.066179
2026_1101_1104,0.027347
2026_1101_1105,0.726571
2026_1101_1106,0.776315
2026_1101_1107,0.769209
2026_1101_1108,0.83398
2026_1101_1110,0.555654
2026_1101_1111,0.382644
2026_1101_1112,0.025
2026_1101_1113,0.093221
2026_1101_1114,0.773224
2026_1101_1115,0.75895
2026_1101_1116,0.027347
2026_1101_1117,0.262495
2026_1101_1119,0.811896
2026_1101_1120,0.025
2026_1101_1122,0.26749
2026_1101_1123,0.800104
2026_1101_1124,0.035093
2026_1101_1125,0.150815
2026_1101_1126,0.445789
2026_1101_1127,0.924731
2026_1101_1129,0.126471
2026_1101_1130,0.427016
2026_1101_1131,0.736625
2026_1101_1132,0.363456
2026_1101_1133,0.18305
2026_1101_1135,0.788678
2026_1101_1136,0.862927
2026_1101_1137,0.793803
2026_1101_1138,0.434145
2026_1101_1139,0.076543
2026_1101_1140,0.025
2026_1101_1141,0.773707
2026_1101_1142,0.502548
2026_1101_1143,0.079763
2026_1101_1144,0.384092
2026_1101_1145,0.824788
2026_1101_1146,0.435805
2026_1101_1148,0.523618
2026_1101_1149,0.66225
2026_1101_1150,0.372025
2026_1101_1151,0.601968
2026_1101_1152,0.883867
2026_1101_1153,0.084532
2026_1101_1154,0.871952
2026_1101_1155,0.025
2026_1101_1156,0.721714
2026_1101_1157,0.42595
2026_1101_1158,0.299394
2026_1101_1159,0.408068
2026_1101_1160,0.117384
2026_1101_1161,0.181923
2026_1101_1162,0.409312
2026_1101_1163,0.025
2026_1101_1164,0.899827
2026_1101_1165,0.424089
2026_1101_1166,0.074129
2026_1101_1167,0.815087
2026_1101_1168,0.391747
2026_1101_1169,0.318546
2026_1101_1170,0.792042
2026_1101_1171,0.643701
2026_1101_1172,0.22663
2026_1101_1173,0.19535
2026_1101_1174,0.742154
2026_1101_1175,0.948734
2026_1101_1176,0.581492
2026_1101_1177,0.232645
2026_1101_1178,0.674768
2026_1101_1179,0.428948
2026_1101_1180,0.51324
2026_1101_1181,0.025
2026_1101_1182,0.301298
2026_1101_1183,0.766548
2026_1101_1184,0.672039
2026_1101_1185,0.645461
2026_1101_1186,0.576302
2026_1101_1187,0.555178
2026_1101_1188,0.573652
2026_1101_1189,0.5401
2026_1101_1190,0.24826
2026_1101_1191,0.804342
2026_1101_1192,0.875699
2026_1101_1193,0.580498
2026_1101_1194,0.2642
2026_1101_1195,0.476513
2026_1101_1196,0.025
2026_1101_1197,0.85605
2026_1101_1198,0.508722
2026_1101_1199,0.155955
2026_1101_1200,0.480446
2026_1101_1201,0.460666
2026_1101_1202,0.350605
2026_1101_1203,0.184247
2026_1101_1204,0.462891
2026_1101_1205,0.952722
2026_1101_1206,0.135379
2026_1101_1207,0.190553
2026_1101_1208,0.025
2026_1101_1209,0.769093
2026_1101_1210,0.287938
2026_1101_1211,0.025
2026_1101_1212,0.752709
2026_1101_1213,0.177248
2026_1101_1214,0.577749
2026_1101_1217,0.363685
2026_1101_1218,0.204351
2026_1101_1219,0.10401
2026_1101_1220,0.242824
2026_1101_1221,0.79909
2026_1101_1222,0.025
2026_1101_1223,0.765664
2026_1101_1224,0.656488
2026_1101_1225,0.394336
2026_1101_1226,0.592921
2026_1101_1227,0.303205
2026_1101_1228,0.025
2026_1101_1229,0.248111
2026_1101_1230,0.618788
2026_1101_1231,0.031501
2026_1101_1232,0.612917
2026_1101_1233,0.423523
2026_1101_1234,0.025
2026_1101_1235,0.025
2026_1101_1236,0.437845
2026_1101_1237,0.86338
2026_1101_1238,0.783522
2026_1101_1239,0.66617
2026_1101_1240,0.543006
2026_1101_1241,0.372045
2026_1101_1242,0.025
2026_1101_1243,0.148452
2026_1101_1244,0.276535
2026_1101_1245,0.170143
2026_1101_1246,0.025
2026_1101_1247,0.636411
2026_1101_1248,0.790987
2026_1101_1249,0.618141
2026_1101_1250,0.752784
2026_1101_1251,0.135971
2026_1101_1252,0.352621
2026_1101_1253,0.759072
2026_1101_1254,0.381481
2026_1101_1255,0.736682
2026_1101_1256,0.367652
2026_1101_1257,0.025
2026_1101_1258,0.382406
2026_1101_1259,0.828828
2026_1101_1260,0.716678
2026_1101_1261,0.041853
2026_1101_1262,0.786958
2026_1101_1263,0.85663
2026_1101_1264,0.671128
2026_1101_1265,0.307465
2026_1101_1266,0.283299
2026_1101_1267,0.317998
2026_1101_1268,0.158994
2026_1101_1269,0.408754
2026_1101_1270,0.087284
2026_1101_1271,0.872083
2026_1101_1272,0.199491
2026_1101_1273,0.36995
2026_1101_1274,0.025
2026_1101_1275,0.108519
2026_1101_1276,0.025
2026_1101_1277,0.025
2026_1101_1278,0.203995
2026_1101_1279,0.140277
2026_1101_1280,0.128775
2026_1101_1281,0.045269
2026_1101_1282,0.958428
2026_1101_1283,0.487759
2026_1101_1284,0.394714
2026_1101_1285,0.424485
2026_1101_1286,0.43004
2026_1101_1287,0.653524
2026_1101_1288,0.905619
2026_1101_1290,0.95936
2026_1101_1291,0.626754
2026_1101_1292,0.38327
2026_1101_1293,0.204836
2026_1101_1294,0.353951
2026_1101_1295,0.20423
2026_1101_1296,0.819966
2026_1101_1297,0.319453
2026_1101_1298,0.270013
2026_1101_1299,0.694377
2026_1101_1300,0.860944
2026_1101_1301,0.025
2026_1101_1303,0.577743
2026_1101_1304,0.025
2026_1101_1305,0.134303
2026_1101_1306,0.860514
2026_1101_1307,0.052191
2026_1101_1308,0.42515
2026_1101_1309,0.445097
2026_1101_1310,0.904905
2026_1101_1311,0.513132
